label,hadits
28,Seandainya aku tidak takut bahwa pada kurmakurma ini ada kewajiban shadaqah zakat tentu aku sudah memakannya
76,Rasulullah Shallallahualaihiwasallam membangunkannya di malam hari dan juga beliau bangunkan Fatimah binti Rasulullah Shallallahualaihiwasallam beliau berkata kepada mereka Tidak sebaiknyakah kalian mendirikan shalat Kata Ali kujawab Wahai Rasulullah jiwa kita ada di tangan Arrahman kalaulah Dia berkenan membangunkan kita niscaya Dia membangunkan Lantas Rasulullah Shallallahualaihiwasallam pergi ketika Ali menjawab sedemikian ini dan sama sekali tidak kembali lagi kemudian Ali mendengar Nabi membaca sebuah ayat ketika kembali sambil menepuk pahanya ayat yang beliau baca Sungguh manusia itu makhluk yang suka membantah QS Al Kahfi 54 Abu Abdullah berkata apa saja yang datang kepadamu malam hari diistilahkan dengan Ath thariq Istilah Ath Thariq juga diperuntukan untuk bintang sedang atsaqib maknanya yang bercahaya atau menyala seperti perkataan atsqib naaroka nyalakan apimu
24,Telah menceritakan kepada kami  telah menceritakan kepada kami  dari  berkata telah menceritakan kepada saya  dari  berkata Nabi shallallahu alaihi wasallam memperkerjakan orang untuk memanfaatkan tanah Khaibar dengan ketentuan separuh dari hasilnya berupa kurma atau sayuran untuk pekerja 
74,Rasulullah shallallahu alaihi wasallam melarang puasa wishal Para sahabat mengemukakan alasan Anda sendiri puasa wishal ya Rasulullah Nabi menjawab Siapa di antara kalian yang bisa sepertiku sungguh tuhanku selalu memberiku makan dan minum Tatkala para sahabat enggan menghentikan wishalnya beliau menyambung puasanya bersama mereka hari demi hari kemudian mereka melihat hilal bulan sabit lantas Nabi berkata Jika bulan itu terlambat niscaya kutambah lagi puasanya  seolaholah beliau ingin menghukum para sahabatnya
65,Barangsiapa menasabkan diri kepada selain ayahnya padahal ia tahu bukan ayahnya maka surga haram baginya
67,kalian telah membunuh kawan kami Penduduk tersebut mengelak seraya mengatakan Kami tidak membunuh dan juga tidak tahu si pembunuhnya Lantas para sahabat mengadukan perkaranya kepada Nabi shallallahu alaihi wasallam Ya Rasulullah kami berangkat ke Khaibar selanjutnya kami dapatkan kawan kami terbunuh Nabi menjawab yang berbicara yang paling tua yang berbicara yang paling tua Lalu Nabi mengatakan kalian harus membawa bukti terhadap si pembunuhnya Para sahabat menjawab kalau bukti kami tidak punya  Nabi menjawab kalau begitu suruhlah kaum yahudi itu untuk bersumpah
20, Apabila terdapat pembatas dan jalan yang terpisah maka tidak ada syufah 
56,Telah menceritakan kepada kami  telah menceritakan kepada kami  dia berkata telah mengabarkan kepadaku  dari  dari  radliallahu anha dia berkata Nabi shallallahu alaihi wasallam sangat menyukai manisan dan madu
49,Apakah Anda mengizinkan Utsman Abdurrahman Az Zubair dan Sadari untuk masuk Ia menjawab Ya Lalu sang pelayan mengizinkan mereka masuk dan mereka pun mengucapkan salam kemudian duduk Sang pelayan kembali menutup dan berkata pada Umar Apakah Anda juga mengizinkan pada Ali dan Abbas Umar menjawab Ya Pelayan itu pun mengizinkan keduanya masuk Dan ketika kedua masuk keduanya pun mengucapkan salam dan duduk Kemudian Abbas berkata Wahai Amirul Mukminin putuskanlah perkara antara aku dan orang ini lalu Utsman berserta kelompoknya berkata Wahai Amirul Mukminin berilah keputusan antara mereka berdua dan istirahatkanlah yang satu dari yang lainnya Maka Umar berkata Aku menyumpah kalian dengan nama Allah yang denganNya berdirilah langit dan bumi sesungguhnya Rasulullah shallallahu alaihi wasallam bersabda Sesungguhnya kami tidaklah mewariskan Dan apa yang kami tinggalkan adalah harta sedekah Yang dimaksud oleh Rasulullah shallallahu alaihi wasallam adalah dirinya sendiri Ar Rahth sekelompok orang itu pun berkata Sesungguhnya beliau telah mengatakan hal itu Kemudian Umar menghadap ke arah Ali dan dan Abbas dan berkata Aku menyumpahkah kalian dengan nama Allah apakah kalian berdua tahu bahwa Rasulullah shallallahu alaihi wasallam telah mengatakan hal itu keduanya menjawab Ya beliau telah mengatakan hal itu Selanjutnya Umar berkata Aku menceritakan kepada kalian mengenai perkara ini Sesungguhnya Allah telah mengkhususkan untuk Rasulullah shallallahu alaihi wasallam di dalam harta ini dengan sesuatu yang belum pernah Dia berikan kepada orang lain selainnya Allah berfirman MAA AFAAALLAHU ALAA RASUULIHI MINHUM FAMAA AUJAFTUM ALAIHI MIN KHAIL QS Alhasyr 6Hingga firmanNya QADIIR Maka harta ini adalah murni untuk diri Rasulullah shallallahu alaihi wasallam Dan demi Allah Rasulullah Shallallahualaihiwasallam dahulu tidak pernah memberikannya kepada selain kalian ahlu bait dan tidak pula beliau lebih mementingkan dirinya sendiri daripadsa kalian Sesungguhnya beliau telah memberikannya dan menyerahkannya pada kalian hingga darinya tersisalah harta ini Dulu Rasulullah shallallahu alaihi wasallam memberi nafkah tahunan kepada keluarganya dari harta ini kemudian sisanya beliau ambil dan menjadikannya sebagai harta Allah Begitulah Rasulullah shallallahu alaihi wasallam mengisi menjalani kehidupannya Aku menyumpah kalian dengan nama Allah apakah kalian mengetahui hal itu Mereka menjawab Ya Umar kemudian berkata kepada Ali dan Abbas Aku menyumpah kalian dengan nama Allah apakah kalian juga tahu akan hal itu keduanya menjawab Ya Umar melanjutkan Kemudian Nabi shallallahu alaihi wasallam wafat dan berkatalah Abu Bakar Aku adalah wali Rasulullah Maka Abu Bakar pun menanganinya Ia mengelolanya sebagaimana yang diperbuat oleh Rasulullah shallallahu alaihi wasallam Dan ada pun kalian berdua Umar menghadap ke arah Ali dan Abbas menyangka bahwa Abu Bakar adalah begini dan begitu Demi Allah sesungguhnya dala hal itu Abu Bakar adalah telah bertindak benar berbuat baik dan juga rasyid berada di atas kebenaran Kemudian setelah Abu Bakar Wafat aku pun berkata Aku adalah wali Rasulullah shallallahu alaihi wasallam dan Abu bakar Sehingga aku pun menanganinya selama dua tahun Aku mengelolanya sebagaimana yang telah diperbuat oleh Rasulullah shallallahu alaihi wasallam dan Abu Bakar Kemudian kalian berdua bersepakat mendatangiku Kamu Ibn Abbas mendatangiku untuk meminta bagianmu dari anak saudaramu maksudnya Rasulullah dan yang ini Ali juga mendatangiku untuk meminta bagian isterinya dari jalur bapaknya maksudnya Rasulullah Maka aku katakan Jika kalian mau maka aku akan menyerahkannya pada kalian berdua dengan satu catatan bahwa di atas kalian berdua terdapat janji Allah Kalian berdua benarbenar sadar akan apa yang telah diperbuat oleh Rasulullah shallallahu alaihi wasallam di dalamnya dan juga apa yang telah diperbuat oleh Abu Bakar serta apa yang aku perbuat sejak aku menanganinya Kalau tidak maka janganlah kalian berdua berkata lagi padaku tentang harta itu Berikanlah harta itu pada kami Sehingga aku akan menyerahkan harta itu pada kalian berdua Aku menyumpah kalian berdua dengan nama Allah apakakah aku menyerahkannya pada keduanya sekelompok orang itu pun menjawab Ya Kemudian Umar berpaling ke arah Ali dan Abbas seraya bertanya Aku menyumpah kalian dengan nama Allah apakah aku menyerahkannya pada kalian berdua keduanya menjawab Ya Umar berkata lagi  Apakah kalian berdua memintaku keputusan selain yang telah kuutarakan tadi Demi Dzat yang dengan seijinNya langit dan bumi tegak saya tidak akan memutuskan peninggalan Rasulullah tersebut dengan keputusan lain hingga kiamat tiba seandainya kamu berdua tidak mampu mengelolanya tolong kalian berdua serahkan dan saya yang akan menggantikan kalian berdua
66,Ya Rasulullah carikanlah air susu untuk kami Nabi menjawab aku tak bisa berbuat apaapa selain menyarankan kalian untuk mendatangi unta Rasulullah
74,Demi Dzat yang jiwaku berada di tanganNYA sungguh aku suka jika aku berperang fi sabilillah lantas aku terbunuh kemudian dihidupkan kemudian terbunuh kemudian dihidupkan kemudian terbunuh Abu Hurairah mengulanginya tiga kali saya bersaksi atas nama Allah
36,Siapa yang menjual pohon kurma yang telah dikawinkan maka buahnya nanti menjadi hak penjual kecuali disyaratkan oleh pembeli
63,Sesungguhnya amalan itu hanyalah tergantung niatnya dan setiap orang hanya mendapatkan apa yang diniatkannya Barangsiapa yang berniat hijrah kepada Allah dan RasulNya maka hijrahnya kepada Allah dan RasulNya Dan barangsiapa berniat hijrah karena dunia yang bakal diraihnya atau wanita yang akan dinikahinya maka hijrahnya kepada apa yang diniatkannya itu
15,Namun bukankah anda sendiri melakukan puasa wishal Beliau bersabda Aku tidak sama dengan keadaan seorang dari kalian karena aku diberi makan dan minum
27,Wahai Kaab Kaab bin Malik menjawab Ya Rasulullah Beliau berkata Mintalah dulu dari hutangmu segini Beliau memberi isyarat kepadanya yang maksudnya setengahnya Dia Kaab berkata Sudah aku lakukan wahai Rasulullah Maka Beliau shallallahu alaihi wasallam berkata kepada Ibnu Abu Hadrad Kalau begitu tunaikanlah
3,Nabi shallallahu alaihi wasallam shalat Isya bersama kami di akhir hayatnya Setelah selesai memberi salam beliau berdiri dan bersabda Tidakkah kalian perhatikan malam kalian ini Sesungguhnya pada setiap penghujung seratus tahun darinya tidak akan tersisa seorangpun dari muka bumi ini
59,Sesungguhnya Jibril menyampaikan salam kepadamu Aisyah menjawab Waalaihis salam warahmatullahi
17,Apa ini Mereka menjawab Ini tendatenda milik Aisyah Hafshah dan Zainab Maka Beliau bersabda Apakah mereka mengharapkan kebajikan dengan tendatenda ini Aku tidak akan beritikaf
9,Pemilik rumah ini menceritakan kepada kami seraya menunjuk rumah Abdullah  ia berkata Aku pernah bertanya kepada Nabi shallallahu alaihi wasallam Amal apakah yang paling dicintai oleh Allah Beliau menjawab Shalat pada waktunya Abdullah bertanya lagi Kemudian apa kagi Beliau menjawab Kemudian berbakti kepada kedua orangtua Abdullah bertanya lagi Kemudian apa kagi Beliau menjawab Jihad fi sabilillah Abdullah berkata Beliau sampaikan semua itu sekiranya aku minta tambah niscaya beliau akan menambahkannya untukku
26,Aku dudukduduk bersama Nabi shallallahu alaihi wasallam dan ketika Beliau melihat bukit Uhud Beliau bersabda Aku tidak menyukainya seandainya bukit itu dirubah untukku menjadi emas dalam bentuk dinar lalu berada padaku melebihi tiga hari kecuali satu dinar saja yang aku siapkan untuk membayar hutang Kemudian Beliau melanjutkan Sesungguhnya kebanyakan orang dalam masalah harta hanya sedikit saja dari mereka yang selamat kecuali orang yang berkata tentang harta begini begini Abu Syihab memberi isyarat dengan tangannya ke arah kanan dan kiri Dan sedikit sekali mereka yang selamat Beliau shallallahu alaihi wasallam berkata Tetaplah kamu pada tempatmu Lalu Beliau melangkah tidak terlalu jauh lalu aku mendengar suara Semula aku hendak mendatangi Beliau namun aku teringat perintah Beliau Tetaplah kamu pada tempatmu hingga aku datang Ketika Beliau sudah datang aku bertanya Wahai Rasulullah apa yang aku dengar tadi atau suara apakah yang aku dengar tadi Beliau menjawab Apakah kamu mendengar sesuatu Aku jawab Ya Beliau menjelaskan Tadi Jibril alaihissalam datang kepadaku seraya berkata Siapa saja yang mati dari ummatmu dan dia tidak menyekutukan Allah dengan sesuatu apapun pasti akan masuk surga Aku bertanya Sekalipun dia berbuat begini begini Jibril menjawab Ya
47,Aku melihatmu di alam mimpiku Kamu dibawa oleh Malaikat dengan bertutupkan kain sutera lalu Malaikat itu pun berkata padaku Ini adalah isterimu Maka aku pun menyingkap kain yang menutupi wajahmu dan ternyata wanita itu adalah kamu Maka aku pun berkata Kalau hal ini datangnya dari Allah maka Allah pasti akan menjadikan kenyataan
56,Ya Rasulullah bagaimana saya harus menanggung orang yang belum bisa makan dan minum bahkan belum bisa berbicara ataupun menjerit sama sekali tidakkah hal itu dapat dikatagorikan sebagai kecelakaan yang tidak dapat dihindari Maka Nabi shallallahu alaihi wasallam bersabda Sesungguhnya perkara itu seperti perkara paranormal yang membacakan manteramantera
11,Nabi shallallahu alaihi wasallam menaiki mimbar yang merupakan kali terakhir beliau duduk di situ dalam keadaan berselimut yang diletakkannya di atas kedua pundaknya dan mengikat kepalanya dengan ikat kepala berwarna hitam Setelah memuji Allah dan mensucikanNya beliau bersabda Amma badu wahai sekalian manusia berkumpullah di hadapanku Maka orangorang berkumpul mengelilingi beliau Kemudian beliau melanjutkan Amma badu sesungguhnya orang yang masih hidup dari kalangan Anshar semakin sedikit sedangkan orangorang lain selain Anshar terus bertambah banyak Maka barangsiapa mengurus sesuatu dari urusan ummat Muhammad lalu dia mampu mendatangkan madlarat kepada seseorang atau memberi manfaat kepada seseorang maka terimalah orangorang baik mereka kaum Anshar dan maafkanlah orang yang keliru dari kalangan mereka
36,Sesungguhnya Allah memiliki sembilan puluh sembilan nama seratus kurang satu Siapa yang menghitungnya menjaganya maka dia akan masuk surga
35,Sesungguhnya Nabi shallallahu alaihi wasallam telah tertahan sedangkan waktu shalat sudah masuk apakah engkau bersedia memimpin orangorang untuk shalat berjamaah Dia Abu Bakar menjawab Ya bersedia jika kamu menghendaki Maka Bilal membacakan iqamat lalu Abu Bakar maju untuk memimpin shalat Tak lama kemudian datang Nabi shallallahu alaihi wasallam berjalan di tengahtengan shaf hingga berdiri di shaf pertama Maka orangorang memberi isyarat dengan bertepuk tangan hingga semakin ramai sedangkan Abu Bakar tidak bereaksi dalam shalatnya Ketika orangorang yang memberi tepukan semakin banyak Abu Bakar baru berbalik dan ternyata ada Nabi shallallahu alaihi wasallam di belakangnya lalu Beliau memberi isyarat dengan tangan Beliau untuk memerintahkan Abu Bakar meneruskan shalat seperti semula Maka Abu Bakar mengangkat kedua tangannya lalu memuji Allah dan mensucikanNya kemudian dia mundur hingga masuk di barisan lalu Nabi shallallahu alaihi wasallam maju untuk memimpin shalat berjamaah Setelah selesai Beliau berbalik menghadap jamaah lalu bersabda Wahai sekalian manusia jika kalian mendapatkan sesuatu dalam shalat mengapa kalian melakukannya dengan bertepuk tangan Sesungguhnya bertepuk tangan itu adalah isyarat yang layak dilakukan kaum wanita Maka siapa yang mendapatkan sesuatu yang keliru dalam shalat hendaklah mengucapkan subhaanallah karena tidaklah seseorang mendengar ucapan subhaanallah kecuali dia harus memperhatikannya Dan kamu wahai Abu Bakar apa yang menghalangimu ketika aku sudah memberi isyarat kepadamu agar meneruskannya mengapa kamu tidak melanjutkan shalat bersama orang banyak Maka Abu Bakar menjawab Tidak patut bagi putra Abu Quhafah memimpin shalat di hadapan Nabi shallallahu alaihi wasallam
40,Tidak demi Allah hingga Tuan menetapkan juga bagian yang sama buat saudarasaudara kami dari Quraisy Maka Beliau jawab ucapan mereka sekehendak Allah Selanjutnya Beliau bersabda Kelak kalian akan melihat setelahku sikapsikap egoism maka bersabarlah hingga kalian berjumpa denganku di telaga alHaudl
26,Siapa yang mendapatkan hartanya pada seseorang namun sudah rusak maka orang itu yang paling berhak tentang harta itu dari pada orang lain
77,Surga dan neraka saling berselisih kepada Tuhan keduanya surga berkata Wahai Tuhan mengapa aku tak dimasuki selain orangorang lemah dan rakyat jelata  Sedang neraka berkata Mengapa aku dikhususkan untuk orangorang yang sombong  Allah taala menjawab surga Engkau adalah rahmatKu dan Allah berfirman kepada neraka Engkau adalah SiksaKu yang Aku timpakan kepada siapa saja yang Aku kehendaki dan masingmasing diantara kalian berdua harus dipenuhi Nabi bersabda Adapun surga sesungguhnya Allah tidak menzhalimi satupun dari makhlukNa dan Allah akan memenuhi neraka dengan siapa saja yang dikehendakiNya lantas mereka dilempar ke dalamnya neraka berkata Masihkah ada tambahan  QS Qaaf ayat 30 beliau mengulanginya tiga kali kemudian Allah meletakkan telapak kakinya sehingga neraka menjadi penuh sebagian satu dengan sebagian yang lain saling berhimpitan neraka pun berkata cukup cukup sukup
77,Pernah Rasulullah Shallallahualaihiwasallam mengutus sepuluh orang sahabatnya yang di antaranya ialah Khubaib Al anshari lantas Ubaidullah bin Iyadl memberitakan kepadaku bahwa anak perempuan Al Harits mengabarkan kepadanya tatkala mereka Banu Harits bin Amir bin Naufal berkumpul Khubaib bin Adi meminjam sebuah pisau kepada anak perempuan itu untuk membersihkan rambutrambut tubuhnya Tatkala mereka keluarkan Khubaib dari tanah haram untuk mereka bunuh Khubaib Al anshari berkata Aku tak peduli ketika aku terbunuh sebagai seorang muslim  Di bagian tubuh manapun aku terbunuh karena Allah  Asalkan itu semua demi Dzat Allah  Kalaulah Allah berkenan Ia memberi barakah di semua sambungan daging yang tercabikcabik Khubaib kemudian dibunuh oleh anak lakilaki Al Harits dan nabi shallallahu alaihi wasallam kabarkan berita kematian Khubaib dan temantemannya kepada sahabatsahabatnya ketika mereka memperoleh musibah yang menimpanya
71,Siapa melihatku dalam mimpi berarti ia telah melihatku sebab setan tidak bisa menjelma sepertiku dan mimpi seorang mukmin adalah sebagian dari empat puluh enam bagian kenabian
20, Apabila terdapat pembatas dan jalan yang terpisah maka tidak ada syufah 
43,Penduduk Madinah ditimpa kekeringan pada jaman Rasulullah shallallahu alaihi wasallam Ketika beliau sedang menyampaikan khuthbah pada hari shalat Jumat tibatiba ada seorang lakilaki yang berdiri lalu berkata Wahai Rasulullah binatang ternak semua binasa dan kehidupan telah menjadi sulit maka berdoalah kepada Allah agar menurunkan air untuk kita Maka beliau shallallahu alaihi wasallam menengadahkan kedua telapak tangan beliau dan berdoa Anas berkata Saat itu langit bagaikan kaca yang bening lalu datang angin yang menggiring awan awan itu berkumpul maka langit pun mengirimkan mulutmulut geribanya maksudnya hujan deras Kami kontan keluar dari masjid dan tercebur ke dalam air yang banjir sampai kami tiba di rumahrumah kami dan hujan masih saja terus mengguyur sampai jumat berikutnya Lalu lakilaki tersebut atau orang lain berdiri seraya berkata Wahai Rasulullah rumahrumah telah menjadi rusak karena banjir maka berdoalah kepada Allah agar menghentikan hujan Maka beliau shallallahu alaihi wasallam tersenyum kemudian bersabda HAWAALAINAA WALAA ALAINAA Ya Allah pindahkanlah hujan di sekitar kami dan jangan Engkau jadikan hujan yang membinasakan kami
53,Yaitu di tempat yang biasa digunakan Nabi shallallahu alaihi wasallam untuk menyembelih binatang kurban
67, awas barisan belakang kalian  sehingga pasukan depan berbalik ke belakang sehingga mereka membunuh Al Yaman dan Khudzaifah berteriakteriak itu ayahku itu ayahku  lantas Khudzaifah mengatakan Kiranya Allah mengampuni kalian kaum musyrikin lari tunggang langgang hingga diantara mereka ada yang lari ke Thaif
